flight,date,flightO,dateO
VN263,11-05-20,VN263,11-05-20
VN269,11-05-20,VN269,11-05-20
VN275,11-05-20,VN275,11-05-20
VN283,11-05-20,VN283,11-05-20
VN7135,11-05-20,VN7135,11-05-20
VN7183,11-05-20,VN7183,11-05-20
VN7243,11-05-20,VN7243,11-05-20
VN7245,11-05-20,VN7245,11-05-20
VN7263,11-05-20,VN7263,11-05-20
VN7265,11-05-20,VN7265,11-05-20
VN7277,11-05-20,VN7277,11-05-20
VN7291,11-05-20,VN7291,11-05-20
VN7673,11-05-20,VN7673,11-05-20
VN772,11-05-20,VN772,11-05-20
VZ3970,11-05-20,VZ3970,11-05-20
3S690,12-05-20,3S690,12-05-20
3U8447,12-05-20,3U8447,12-05-20
BL543,12-05-20,BL543,12-05-20
BL679,12-05-20,BL679,12-05-20
BL769,12-05-20,BL769,12-05-20
BL775,12-05-20,BL775,12-05-20
CI5886,12-05-20,CI5886,12-05-20
CI781,12-05-20,CI781,12-05-20
CI783,12-05-20,CI783,12-05-20
CX767,12-05-20,CX767,12-05-20
CX799,12-05-20,CX799,12-05-20
CZ489,12-05-20,CZ489,12-05-20
GA9820,12-05-20,GA9820,12-05-20
JL759,12-05-20,JL759,12-05-20
KE8351,12-05-20,KE8351,12-05-20
LD561,12-05-20,LD561,12-05-20
LD562,12-05-20,LD562,12-05-20
NH833,12-05-20,NH833,12-05-20
OZ735,12-05-20,OZ735,12-05-20
QH1123,12-05-20,QH1123,12-05-20
QH1155,12-05-20,QH1155,12-05-20
QH1175,12-05-20,QH1175,12-05-20
QH1335,12-05-20,QH1335,12-05-20
QH1501,12-05-20,QH1501,12-05-20
QH151,12-05-20,QH151,12-05-20
QH1522,12-05-20,QH1522,12-05-20
QH1545,12-05-20,QH1545,12-05-20
QH157,12-05-20,QH157,12-05-20
QH201,12-05-20,QH201,12-05-20
QH205,12-05-20,QH205,12-05-20
QH211,12-05-20,QH211,12-05-20
QH215,12-05-20,QH215,12-05-20
QH219,12-05-20,QH219,12-05-20
QR8968,12-05-20,QR8968,12-05-20
QR8970,12-05-20,QR8970,12-05-20
QR8972,12-05-20,QR8972,12-05-20
TK6150,12-05-20,TK6150,12-05-20
VJ121,12-05-20,VJ121,12-05-20
VJ125,12-05-20,VJ125,12-05-20
VJ129,12-05-20,VJ129,12-05-20
VJ133,12-05-20,VJ133,12-05-20
VJ139,12-05-20,VJ139,12-05-20
VJ141,12-05-20,VJ141,12-05-20
VJ143,12-05-20,VJ143,12-05-20
VJ145,12-05-20,VJ145,12-05-20
VJ155,12-05-20,VJ155,12-05-20
VJ157,12-05-20,VJ157,12-05-20
VJ165,12-05-20,VJ165,12-05-20
VJ173,12-05-20,VJ173,12-05-20
VJ189,12-05-20,VJ189,12-05-20
VJ197,12-05-20,VJ197,12-05-20
VJ207,12-05-20,VJ207,12-05-20
VJ211,12-05-20,VJ211,12-05-20
VJ213,12-05-20,VJ213,12-05-20
VJ215,12-05-20,VJ215,12-05-20
VJ221,12-05-20,VJ221,12-05-20
VJ225,12-05-20,VJ225,12-05-20
VJ231,12-05-20,VJ231,12-05-20
VJ241,12-05-20,VJ241,12-05-20
VJ243,12-05-20,VJ243,12-05-20
VJ245,12-05-20,VJ245,12-05-20
VJ249,12-05-20,VJ249,12-05-20
VJ261,12-05-20,VJ261,12-05-20
VJ271,12-05-20,VJ271,12-05-20
VJ275,12-05-20,VJ275,12-05-20
VJ277,12-05-20,VJ277,12-05-20
VJ281,12-05-20,VJ281,12-05-20
VJ301,12-05-20,VJ301,12-05-20
VJ303,12-05-20,VJ303,12-05-20
VJ305,12-05-20,VJ305,12-05-20
VJ307,12-05-20,VJ307,12-05-20
VJ309,12-05-20,VJ309,12-05-20
VJ322,12-05-20,VJ322,12-05-20
VJ324,12-05-20,VJ324,12-05-20
VJ326,12-05-20,VJ326,12-05-20
VJ373,12-05-20,VJ373,12-05-20
VJ377,12-05-20,VJ377,12-05-20
VJ383,12-05-20,VJ383,12-05-20
VJ387,12-05-20,VJ387,12-05-20
VJ6131,12-05-20,VJ6131,12-05-20
VJ621,12-05-20,VJ621,12-05-20
VJ625,12-05-20,VJ625,12-05-20
VJ637,12-05-20,VJ637,12-05-20
VJ647,12-05-20,VJ647,12-05-20
VN1185,12-05-20,VN1185,12-05-20
VN1187,12-05-20,VN1187,12-05-20
VN1189,12-05-20,VN1189,12-05-20
VN119,12-05-20,VN119,12-05-20
VN125,12-05-20,VN125,12-05-20
VN1263,12-05-20,VN1263,12-05-20
VN1265,12-05-20,VN1265,12-05-20
VN1269,12-05-20,VN1269,12-05-20
VN1275,12-05-20,VN1275,12-05-20
VN1277,12-05-20,VN1277,12-05-20
VN135,12-05-20,VN135,12-05-20
VN137,12-05-20,VN137,12-05-20
VN1371,12-05-20,VN1371,12-05-20
VN1373,12-05-20,VN1373,12-05-20
VN1375,12-05-20,VN1375,12-05-20
VN1395,12-05-20,VN1395,12-05-20
VN1397,12-05-20,VN1397,12-05-20
VN1401,12-05-20,VN1401,12-05-20
VN1461,12-05-20,VN1461,12-05-20
VN1463,12-05-20,VN1463,12-05-20
VN1824,12-05-20,VN1824,12-05-20
VN1826,12-05-20,VN1826,12-05-20
VN1828,12-05-20,VN1828,12-05-20
VN207,12-05-20,VN207,12-05-20
VN209,12-05-20,VN209,12-05-20
VN211,12-05-20,VN211,12-05-20
VN215,12-05-20,VN215,12-05-20
VN217,12-05-20,VN217,12-05-20
VN221,12-05-20,VN221,12-05-20
VN237,12-05-20,VN237,12-05-20
VN243,12-05-20,VN243,12-05-20
VN251,12-05-20,VN251,12-05-20
VN257,12-05-20,VN257,12-05-20
VN263,12-05-20,VN263,12-05-20
VN269,12-05-20,VN269,12-05-20
VN275,12-05-20,VN275,12-05-20
VN283,12-05-20,VN283,12-05-20
VN6026,12-05-20,VN6026,12-05-20
VN7183,12-05-20,VN7183,12-05-20
VN7243,12-05-20,VN7243,12-05-20
VN7245,12-05-20,VN7245,12-05-20
VN7263,12-05-20,VN7263,12-05-20
VN7265,12-05-20,VN7265,12-05-20
VN7275,12-05-20,VN7275,12-05-20
VN7277,12-05-20,VN7277,12-05-20
VN7291,12-05-20,VN7291,12-05-20
VN7485,12-05-20,VN7485,12-05-20
VN7673,12-05-20,VN7673,12-05-20
VZ3970,12-05-20,VZ3970,12-05-20
VZ3972,12-05-20,VZ3972,12-05-20
3U8447,13-05-20,3U8447,13-05-20
AF258,13-05-20,AF258,13-05-20
BL543,13-05-20,BL543,13-05-20
BL679,13-05-20,BL679,13-05-20
BL769,13-05-20,BL769,13-05-20
BL775,13-05-20,BL775,13-05-20
BR391,13-05-20,BR391,13-05-20
BR395,13-05-20,BR395,13-05-20
CI781,13-05-20,CI781,13-05-20
CI783,13-05-20,CI783,13-05-20
CX767,13-05-20,CX767,13-05-20
CX799,13-05-20,CX799,13-05-20
EK392,13-05-20,EK392,13-05-20
KE683,13-05-20,KE683,13-05-20
KE8351,13-05-20,KE8351,13-05-20
LD561,13-05-20,LD561,13-05-20
LD562,13-05-20,LD562,13-05-20
NH833,13-05-20,NH833,13-05-20
QH1123,13-05-20,QH1123,13-05-20
QH1155,13-05-20,QH1155,13-05-20
QH1175,13-05-20,QH1175,13-05-20
QH151,13-05-20,QH151,13-05-20
QH1522,13-05-20,QH1522,13-05-20
QH1545,13-05-20,QH1545,13-05-20
QH157,13-05-20,QH157,13-05-20
QH205,13-05-20,QH205,13-05-20
QH211,13-05-20,QH211,13-05-20
QH215,13-05-20,QH215,13-05-20
QH219,13-05-20,QH219,13-05-20
VJ121,13-05-20,VJ121,13-05-20
VJ125,13-05-20,VJ125,13-05-20
VJ129,13-05-20,VJ129,13-05-20
VJ133,13-05-20,VJ133,13-05-20
VJ139,13-05-20,VJ139,13-05-20
VJ141,13-05-20,VJ141,13-05-20
VJ145,13-05-20,VJ145,13-05-20
VJ155,13-05-20,VJ155,13-05-20
VJ157,13-05-20,VJ157,13-05-20
VJ165,13-05-20,VJ165,13-05-20
VJ173,13-05-20,VJ173,13-05-20
VJ177,13-05-20,VJ177,13-05-20
VJ197,13-05-20,VJ197,13-05-20
VJ207,13-05-20,VJ207,13-05-20
VJ211,13-05-20,VJ211,13-05-20
VJ213,13-05-20,VJ213,13-05-20
VJ221,13-05-20,VJ221,13-05-20
VJ225,13-05-20,VJ225,13-05-20
