date,flight,error
28-09-20,VN1822.csv,Did not land.
28-09-20,VN1862.csv,Multiple flights detected.
28-09-20,VN7379.csv,Did not land.
28-09-20,ZH8011.csv,Did not land.
29-09-20,VJ283.csv,Multiple flights detected.
30-09-20,NH833.csv,Multiple flights detected.
30-09-20,VJ143.csv,Multiple flights detected.
01-10-20,QH207.csv,Multiple flights detected.
01-10-20,QR970.csv,Multiple flights detected.
01-10-20,VJ159.csv,Multiple flights detected.
01-10-20,VN1279.csv,Did not land at TSN.
02-10-20,TK6470.csv,Multiple flights detected.
03-10-20,NH833.csv,Multiple flights detected.
03-10-20,QH8283.csv,Did not land.
03-10-20,TK6470.csv,Did not land.
03-10-20,VJ141.csv,Did not land.
03-10-20,VJ159.csv,Multiple flights detected.
03-10-20,VJ215.csv,Multiple flights detected.
03-10-20,VJ283.csv,Multiple flights detected.
03-10-20,VN263.csv,Did not land.
04-10-20,5X146.csv,Did not land at TSN.
04-10-20,FX5194.csv,Did not land at TSN.
04-10-20,QR970.csv,Multiple flights detected.
05-10-20,BR395.csv,Multiple flights detected.
05-10-20,CI781.csv,Multiple flights detected.
05-10-20,KE8681.csv,Did not land.
05-10-20,PR591.csv,Did not land.
05-10-20,VN772.csv,Did not land.
06-10-20,NH833.csv,Multiple flights detected.
06-10-20,VJ159.csv,Multiple flights detected.
07-10-20,VJ303.csv,Did not land.
07-10-20,VN1373.csv,Did not land.
07-10-20,VN8056.csv,Multiple flights detected.
08-10-20,NH833.csv,Multiple flights detected.
08-10-20,OZ395.csv,Did not land.
08-10-20,VJ215.csv,Multiple flights detected.
09-10-20,EY975.csv,Multiple flights detected.
09-10-20,QR970.csv,Multiple flights detected.
09-10-20,VJ151.csv,Multiple flights detected.
09-10-20,VJ159.csv,Multiple flights detected.
09-10-20,VN7211.csv,Multiple flights detected.
09-10-20,VN7221.csv,Multiple flights detected.
09-10-20,VN7229.csv,Multiple flights detected.
11-10-20,5X146.csv,Did not land.
11-10-20,FX5194.csv,Did not land at TSN.
11-10-20,VN213.csv,Did not land.
12-10-20,BL110.csv,Did not land at TSN.
12-10-20,BL116.csv,Did not land at TSN.
12-10-20,QR970.csv,Multiple flights detected.
12-10-20,VJ215.csv,Multiple flights detected.
12-10-20,VN7227.csv,Multiple flights detected.
13-10-20,VJ159.csv,Multiple flights detected.
13-10-20,VN405.csv,Multiple flights detected.
13-10-20,VN409.csv,Multiple flights detected.
14-10-20,CX799.csv,Did not land.
14-10-20,VJ137.csv,Did not land.
14-10-20,VJ139.csv,Did not land at TSN.
14-10-20,VJ141.csv,Did not land.
14-10-20,VJ165.csv,Did not land.
14-10-20,VJ271.csv,Did not land.
14-10-20,VJ283.csv,Multiple flights detected.
14-10-20,VN1185.csv,Did not land.
14-10-20,VN215.csv,Did not land.
14-10-20,VN263.csv,Did not land.
14-10-20,VN6007.csv,Did not land.
14-10-20,VN6017.csv,Did not land.
15-10-20,NH833.csv,Multiple flights detected.
16-10-20,VJ131.csv,Multiple flights detected.
16-10-20,VJ159.csv,Multiple flights detected.
16-10-20,VJ283.csv,Multiple flights detected.
16-10-20,VJ301.csv,Multiple flights detected.
16-10-20,VJ397.csv,Multiple flights detected.
16-10-20,VN7387.csv,Did not land.
17-10-20,VN1826.csv,Did not land.
17-10-20,VN604.csv,Multiple flights detected.
17-10-20,VN6251.csv,Did not land at TSN.
18-10-20,5X146.csv,Did not land.
18-10-20,FX5194.csv,Did not land at TSN.
18-10-20,VN6514.csv,Multiple flights detected.
18-10-20,VN8058.csv,Multiple flights detected.
19-10-20,EY975.csv,Multiple flights detected.
